Ticker,Description,Price,Change %,Technical Rating,Volume,Change from Open %,Volume*Price,Market Capitalization,Number of Employees,Sector,Industry,"Change 1M, %","Change 1W, %",Exchange
763,ZTE CORPORATION,17.88,-0.11173184,Buy,937555,1.01694915,16763483.4,131648534898.99998,72584,Electronic Technology,Telecommunications Equipment,5.54899023,-0.11173184,HKEX
522,ASMPT LTD,56.6,-0.52724427,Neutral,293446,2.62919311,16609043.6,23326892575,11700,Electronic Technology,Electronic Production Equipment,-1.39373166,-0.52724427,HKEX
3998,BOSIDENG INTERNATIONAL HLDGS,3.82,-2.05128205,Neutral,4264000,-2.05128205,16288480,42142578374,10118,Consumer Non-Durables,Apparel/Footwear,-0.52083333,-2.05128205,HKEX
9909,POWERLONG COMMERCIAL MGT HLDGS LTD,8.01,-6.64335664,Buy,2021000,0.37593985,16188210,5516082160,6886,Finance,Real Estate Development,65.83850932,-6.64335664,HKEX
586,CHINA CONCH VENTURE HLDGS LIMITED,17.24,-1.59817352,Buy,935222,-5.79234973,16123227.28,31763497773,7090,Producer Manufacturing,Industrial Machinery,-2.81848929,-1.59817352,HKEX
3669,CHINA YONGDA AUTOMOBILES SER,5.56,-2.28471002,Buy,2876500,-4.95726496,15993340,11188562730,16697,Retail Trade,Specialty Stores,14.87603306,-2.28471002,HKEX
6855,ASCENTAGE PHARMA GROUP INTL,25,-1.96078431,Buy,639500,-1.96078431,15987500,6682695694,613,Health Technology,Biotechnology,13.89521121,-1.96078431,HKEX
6865,FLAT GLASS GROUP CO LTD,19.48,0.82815735,Sell,817055,0.51599587,15916231.4,75616338478,5679,Process Industries,Industrial Specialties,-3.32506203,0.82815735,HKEX
165,CHINA EVERBRIGHT LIMITED,5.96,2.22984563,Buy,2652000,3.47222222,15805920,9825029433,282,Finance,Investment Managers,9.96309963,2.22984563,HKEX
3692,HANSOH PHARMACEUTICAL GROUP CO LTD,15.28,-1.03626943,Buy,1028000,3.10391363,15707840,91441083023,12150,Health Technology,Pharmaceuticals: Major,3.52303523,-1.03626943,HKEX
9969,INNOCARE PHARMA LTD,12.94,-1.22137405,Buy,1211998,-1.22137405,15683254.12,20097764320,721,Health Technology,Pharmaceuticals: Major,21.84557439,-1.22137405,HKEX
