Ticker,Description,Price,Change %,Technical Rating,Volume,Change from Open %,Volume*Price,Market Capitalization,Number of Employees,Sector,Industry,"Change 1M, %","Change 1W, %",Exchange
6610,FLOWING CLOUD TECHNOLOGY LTD,4.49,-1.53508772,Buy,996000,2.27790433,4472040,8253600000,,Technology Services,Information Technology Services,-9.83935743,-1.53508772,HKEX
9923,YEAHKA LTD,22.2,-1.7699115,Buy,199600,0,4431120,10124882935,1439,Technology Services,Information Technology Services,14.0801703,-1.7699115,HKEX
2616,CSTONE PHARMACEUTICALS,4.36,-2.24215247,Buy,1000000,-0.456621,4360000,5242850365,611,Health Technology,Pharmaceuticals: Major,26.01156069,-2.24215247,HKEX
81,CHINA OVERSEAS GRAND OCEANS GROUP L,3.71,-1.06666667,Buy,1164000,-0.2688172,4318440,13347655334,3505,Finance,Real Estate Development,3.05555556,-1.06666667,HKEX
3958,DFZQ,3.75,-1.57480315,Buy,1094800,-1.83246073,4105500,80978521911,7835,Finance,Investment Banks/Brokers,0.53619303,-1.57480315,HKEX
1199,COSCO SHIPPING PORTS LTD,6.08,0.16474465,Buy,668000,0.16474465,4061440,20884792920,,Transportation,Other Transportation,3.22580645,0.16474465,HKEX
819,TIANNENG POWER INTERNATIONAL LTD,8.57,-1.49425287,Buy,472000,-1.03926097,4045040,9797283037,25618,Producer Manufacturing,Electrical Products,2.51196172,-1.49425287,HKEX
861,DIGITAL CHINA HLDGS,3.59,0,Buy,1095000,0,3931050,5430308282,14744,Distribution Services,Electronics Distributors,1.12676056,0,HKEX
220,UNI-PRESIDENT CHINA HOLDINGS LTD,6.99,0.43103448,Buy,562000,0.43103448,3928380,30062564696,32765,Consumer Non-Durables,Beverages: Non-Alcoholic,2.19298246,0.43103448,HKEX
3866,BANK OF QINGDAO CO LTD,3.45,-2.54237288,Buy,1134500,-4.16666667,3914025,22501059164,,Finance,Regional Banks,-8,-2.54237288,HKEX
489,DONGFENG MOTOR GROUP CO,4.6,-1.28755365,Buy,842000,-0.21691974,3873200,40151117576,122061,Consumer Durables,Motor Vehicles,5.26315789,-1.28755365,HKEX
512,GRAND PHARMACEUTICAL GROUP LTD,4.5,-0.22172949,Buy,834805,-0.44247788,3756622.5,16008567326,10029,Health Technology,Pharmaceuticals: Major,9.48905109,-0.22172949,HKEX
9898,WEIBO CORPORATION,138.9,-3.54166667,Buy,26940,-2.18309859,3741966,34274229765.999996,6147,Technology Services,Internet Software/Services,11.12,-3.54166667,HKEX
2005,SSY GROUP LIMITED,4.11,1.48148148,Buy,910000,1.98511166,3740100,12044228924,4800,Health Technology,Pharmaceuticals: Major,5.65552699,1.48148148,HKEX
9857,LINMON MEDIA LTD,18.200001,-5.20833306,Strong Sell,199600,-2.67379665,3632720.1996,6560351014,,Consumer Services,Movies/Entertainment,-17.08428168,-13.33332857,HKEX
148,KINGBOARD HOLDINGS LTD,25.6,-2.84629981,Buy,139000,-2.84629981,3558400,29216662984,36000,Process Industries,Chemicals: Specialty,0,-2.84629981,HKEX
1052,YUEXIU TRANSPORT INFRASTRUCTURE LTD,4.04,-0.73710074,Buy,877165,-0.73710074,3543746.6,6809770569,2022,Transportation,Other Transportation,10.68493151,-0.73710074,HKEX
3316,BINJIANG SVC GROUP CO LTD,19.94,-1.04218362,Buy,177500,0.80889788,3539350,5569601205,7225,Finance,Real Estate Development,10.16574586,-1.04218362,HKEX
2157,LEPU BIOPHARMA CO LTD,8.86,1.14155251,Buy,398000,-1.99115044,3526280,14536737508,440,Health Technology,Pharmaceuticals: Major,-0.4494382,1.14155251,HKEX
2367,GIANT BIOGENE HLDG CO. LTD,29.8,-5.3968254,Neutral,117400,-2.61437908,3498520,30637200000,669,Consumer Non-Durables,Household/Personal Care,13.3079891,-5.3968254,HKEX
1196,REALORD GROUP HOLDINGS LIMITED,8.84,-0.11299435,Sell,394000,-0.11299435,3482960,12750282624,521,Industrial Services,Environmental Services,-1.66852058,-0.11299435,HKEX
3331,VINDA INTERNATIONAL HOLDINGS LTD,18.54,-3.13479118,Sell,187000,-3.13479624,3466980,23030690242,11679,Consumer Non-Durables,Household/Personal Care,-8.66994624,-3.13479118,HKEX
9899,CLOUD MUSIC INC,79.75,0.75805178,Buy,43450,2.24358974,3465137.5,16713118959,1503,Technology Services,Internet Software/Services,7.91609992,0.75805178,HKEX
1310,HKBN LTD,5.44,-0.18348624,Neutral,633500,-0.36630037,3446240,7148216290,4864,Communications,Major Telecommunications,4.61538462,-0.18348624,HKEX
2588,BOC AVIATION LTD,60.7,-2.25442519,Buy,56400,0.99833611,3423480,43098039499,186,Finance,Finance/Rental/Leasing,-0.89795918,-2.25442519,HKEX
9983,CENTRAL CHINA NEW LIFE LTD,3.94,-2.95566502,Buy,860000,0.76726343,3388400,5191627293,6007,Finance,Real Estate Development,18.6746988,-2.95566502,HKEX
973,L'OCCITANE INTERNATIONAL S.A.,24.05,-1.63599584,Buy,136635,-1.02880658,3286071.75,35903303965,9042,Consumer Non-Durables,Household/Personal Care,10.57471264,-1.63599584,HKEX
659,NWS HOLDINGS LIMITED,6.47,-0.61443932,Neutral,505000,-0.46153846,3267350,25456885446,13800,Industrial Services,Engineering & Construction,0.93603744,-0.61443932,HKEX
631,SANY HEAVY EQUIPMENT INTL HLDG CO,7.85,0.77021823,Neutral,405000,0.77021823,3179250,24639359079,4995,Producer Manufacturing,Trucks/Construction/Farm Machinery,-5.5354994,0.77021823,HKEX
778,FORTUNE REAL ESTATE INV TRUST,5.86,-1.67785235,Neutral,538000,-2.81923715,3152680,11846246531,,Finance,Real Estate Investment Trusts,5.77617329,-1.67785235,HKEX
551,YUE YUEN INDUSTRIAL HLDGS,11.16,-2.10526316,Buy,281900,-3.29289428,3146004,18361726949,317200,Consumer Non-Durables,Apparel/Footwear,14.46153846,-2.10526316,HKEX
1666,TONG REN TANG TECHNOLOGIES CO,5.78,-0.17271157,Buy,513000,-0.17271157,2965140,7415739192,3966,Health Technology,Pharmaceuticals: Major,12.01550388,-0.17271157,HKEX
6626,YUEXIU SERVICES GROUP LTD,3.45,-0.57636888,Buy,851500,0,2937675,5281444669,11212,Finance,Real Estate Development,16.16161616,-0.57636888,HKEX
6993,BLUE MOON GROUP HLDGS LTD,5.5,-0.54249548,Buy,528500,0.54844607,2906750,32405436609,7617,Consumer Non-Durables,Household/Personal Care,1.47601476,-0.54249548,HKEX
2325,YUNKANG GROUP LTD,15.82,-0.50314465,Buy,181000,0.12658228,2863420,9877882527,2389,Health Services,Medical/Nursing Services,1.02171137,-0.50314465,HKEX
6826,SHANGHAI HAOHAI BIOLOGICAL TECH CO,33.3,1.99080539,Buy,85900,2.14723926,2860470,14261118098,1892,Distribution Services,Medical Distributors,17.04744756,1.99080539,HKEX
177,JIANGSU EXPRESSWAY CO,6.8,-0.87463557,Buy,412800,-0.87463557,2807040,42579039218,4822,Transportation,Other Transportation,-3.40909091,-0.87463557,HKEX
2172,MICROPORT NEUROTECH LTD,19.9,-1.97043852,Sell,137000,-1.48514851,2726300,11828000000,484,Health Technology,Medical Specialties,-8.08314088,-1.97043852,HKEX
14,HYSAN DEVELOPMENT,22.5,0.67114094,Strong Buy,116338,0.89686099,2617605,22953635914,467,Finance,Real Estate Development,9.48905642,0.67114094,HKEX
6680,JL MAG RARE-EARTH CO LTD,23.75,-1.45228216,Sell,106600,-0.21008403,2531750,26395175320,3529,Producer Manufacturing,Metal Fabrication,-0.41928721,-1.45228216,HKEX
1070,TCL ELECTRONICS HOLDINGS LTD,3.32,1.2195122,Buy,749200,0.60606061,2487344,8199279225,31238,Consumer Durables,Electronics/Appliances,4.40251572,1.2195122,HKEX
2888,STANDARD CHARTERED PLC,56.75,0.88888889,Buy,43450,1.06856634,2465787.5,165206565032.21747,81957,Finance,Major Banks,-0.08802641,0.88888889,HKEX
2279,YONGHE MEDICAL GROUP CO LTD,10.3,-3.73831776,Buy,239000,-4.80591497,2461700,5639760654,4395,Health Services,Medical/Nursing Services,5.20939734,-3.73831776,HKEX
548,SHENZHEN EXPRESSWAY CORPORATION LTD,6.68,-1.03703704,Buy,363000,-1.76470588,2424840,19223005699,7105,Transportation,Other Transportation,1.98473282,-1.03703704,HKEX
69,SHANGRI-LA ASIA,6.15,0.65466448,Buy,387426,0.81967213,2382669.9,21827334046,23200,Consumer Services,Hotels/Resorts/Cruise lines,27.0661157,0.65466448,HKEX
341,CAFE DE CORAL HLDGS,13.06,-2.53731343,Buy,181541,-1.06060606,2370925.46,7761136815,17954,Consumer Services,Restaurants,15.78014184,-2.53731343,HKEX
363,SHANGHAI INDUSTRIAL HLDGS,9.58,0.84210526,Buy,245000,0.10449321,2347100,10328510864,,Finance,Real Estate Development,4.35729847,0.84210526,HKEX
1913,PRADA SPA,43.85,-2.98672781,Buy,51200,2.69320843,2245120,115658845605,13140,Consumer Non-Durables,Consumer Sundries,2.57309942,-2.98672781,HKEX
6689,CHONGQING HONGJIU FRUIT CO LTD,73.55,3.5915493,Buy,29820,4.84675695,2193261,33183185394,,Distribution Services,Food Distributors,5.07142857,3.5915493,HKEX
576,ZHEJIANG EXPRESSWAY CO,5.95,0,Buy,368507,1.70940171,2192616.65,25841530400,,Transportation,Other Transportation,2.5862069,0,HKEX
2162,KEYMED BIOSCIENCES INC,49.8,-1.48367758,Buy,43000,-1.48367953,2141400,13231937441,320,Finance,Financial Conglomerates,-1.48367758,-1.48367758,HKEX
1121,GOLDEN SOLAR NEW ENERGY TECHNOLOGY,8.1,-3.34128878,Sell,258000,-1.45985401,2089800,14346221600,780,Consumer Non-Durables,Apparel/Footwear,-8.8863892,-3.34128878,HKEX
2179,JIANGSU RECBIO TECHNOLOGY CO LTD,22.05,0.00000454,Buy,85000,1.37931034,1874250,10649300000,,Commercial Services,Miscellaneous Commercial Services,6.77966102,0.00000454,HKEX
3360,FAR EAST HORIZON LIMITED,6.07,-0.32840722,Buy,307000,1.33555927,1863490,25448962815,23257,Finance,Finance/Rental/Leasing,2.3608769,-0.32840722,HKEX
2039,CHINA INTL MARINE CONTAINERS(GROUP),5.97,-0.99502488,Neutral,299500,-0.99502488,1788015,37617094779,51746,Process Industries,Containers/Packaging,-1.1589404,-0.99502488,HKEX
2192,MEDLIVE TECHNOLOGY CO LTD,10.58,-2.75735294,Buy,167000,-3.64298725,1766860,7804746566,502,Commercial Services,Miscellaneous Commercial Services,8.84773663,-2.75735294,HKEX
1477,OCUMENSION THERAPEUTICS,9.9,-2.94117647,Buy,175000,3.99159664,1732500,6681630527,244,Health Technology,Pharmaceuticals: Major,33.78378378,-2.94117647,HKEX
6069,SY HOLDINGS GROUP LTD,6.17,-0.1618123,Strong Buy,278900,-0.32310178,1720813,6227675298,347,Finance,Finance/Rental/Leasing,5.47008547,-0.1618123,HKEX
10,HANG LUNG GROUP,14.3,-2.45566166,Buy,118000,-2.45566166,1687400,19961323867,,Finance,Real Estate Development,4.37956204,-2.45566166,HKEX
2285,CHERVON HLDGS LTD,41.65,-3.13953488,Buy,40300,-2.80046674,1678495,21079408875,6732,Producer Manufacturing,Industrial Machinery,-6.40449438,-3.13953488,HKEX
553,NANJING PANDA ELECTRONICS CO,3.69,-1.6,Buy,448000,-0.27027027,1653120,9216354590,3143,Electronic Technology,Telecommunications Equipment,-0.53908356,-1.6,HKEX
303,VTECH HLDGS,52.05,-1.69971857,Buy,30900,-0.47801147,1608345,13374993574,25000,Consumer Durables,Recreational Products,5.0454108,-1.69971857,HKEX
777,NETDRAGON WEBSOFT HOLDINGS LTD,16.14,-1.46519545,Buy,97000,-0.37037037,1565580,8849594473,4834,Technology Services,Packaged Software,4.6692607,-1.46519545,HKEX
1361,361 DEGREES INTERNATIONAL LIMITED,3.43,0.29239766,Buy,452000,1.47928994,1550360,7071199171,6692,Consumer Non-Durables,Apparel/Footwear,1.47928994,0.29239766,HKEX
564,ZHENGZHOU COAL MINING MACHINERY GRO,8.04,-1.22850123,Neutral,190600,0.124533,1532424,22921232831,,Producer Manufacturing,Auto Parts: OEM,-0.86313194,-1.22850123,HKEX
9989,SHENZHEN HEPALINK PHARMACEUTICAL,5.82,-0.68259386,Buy,261500,0.34482759,1521930,20877835474,2046,Health Technology,Pharmaceuticals: Major,8.78504673,-0.68259386,HKEX
2386,SINOPEC ENGINEERING(GROUP)CO LTD,3.33,-0.2994012,Buy,452000,-0.2994012,1505160,14789519783,16973,Industrial Services,Engineering & Construction,4.0625,-0.2994012,HKEX
1717,AUSNUTRIA DAIRY CORP LTD,4.64,-2.10970464,Neutral,320000,-2.10970464,1484800,8532529597.999999,4896,Consumer Non-Durables,Food: Major Diversified,15.13647643,-2.10970464,HKEX
1133,HARBIN ELECTRIC CO LTD,3.1,-2.51572327,Buy,478000,-0.64102564,1481800,5426743203,13982,Producer Manufacturing,Electrical Products,-5.48780488,-2.51572327,HKEX
1830,PERFECT MEDICAL HEALTH MGT LTD,4.02,-0.24813896,Buy,364000,0,1463280,5069888339,1414,Health Services,Medical/Nursing Services,8.64864865,-0.24813896,HKEX
23,BANK OF EAST ASIA LIMITED,9.39,0.10660981,Buy,151211,0.10660981,1419871.29,25184526274,8824,Finance,Major Banks,4.91620112,0.10660981,HKEX
921,HISENSE HOME APPLIANCES GROUP CO LT,8.31,0.12048193,Strong Buy,170000,-0.8353222,1412700,18231599068,48263,Consumer Durables,Electronics/Appliances,3.48692403,0.12048193,HKEX
1083,TOWNGAS SMART ENERGY COMPANY LTD,3.85,0,Buy,361000,0.78534031,1389850,12545669282,23287,Utilities,Gas Distributors,8.75706215,0,HKEX
9993,RADIANCE HOLDINGS GROUP COMPANY LTD,3.96,-0.25188917,Buy,350000,-1.7369727,1386000,16059551507,3383,Finance,Real Estate Development,-10.20408163,-0.25188917,HKEX
317,CSSC OFFSHORE & MARINE ENGINEERING,7.5,-1.05540897,Sell,170000,-1.05540897,1275000,24999076466,7465,Producer Manufacturing,Trucks/Construction/Farm Machinery,-6.13266583,-1.05540897,HKEX
1381,CANVEST ENVIR PROTECTION GP CO LTD,4.24,-0.70257611,Sell,291000,0.47393365,1233840,10373713716,3976,Industrial Services,Engineering & Construction,-3.41685649,-0.70257611,HKEX
743,ASIA CEMENT CHINA HOLDINGS CORP,3.51,-2.5,Buy,340500,-2.5,1195155,5640663278,3774,Non-Energy Minerals,Construction Materials,11.07594937,-2.5,HKEX
9896,MINISO GROUP HLDG LTD,23.1,-2.94117239,Buy,51000,-3.14465409,1178100,30154276548,3372,Retail Trade,Specialty Stores,7.19258038,-2.94117239,HKEX
856,VSTECS HOLDINGS LTD,4.38,-1.57303371,Buy,264000,-1.35135135,1156320,6456584684,4199,Technology Services,Information Technology Services,3.79146919,-1.57303371,HKEX
1686,SUNEVISION HLDGS,4.2,-0.70921986,Neutral,271500,0.4784689,1140300,9894211700,410,Technology Services,Data Processing Services,6.87022901,-0.70921986,HKEX
2356,DAH SING BANKING GROUP,5.52,-0.18083183,Buy,206000,0.72992701,1137120,7773809276,2875,Finance,Regional Banks,1.65745856,-0.18083183,HKEX
1866,CHINA XLX FERTILISER LTD,4.05,-1.69902913,Neutral,280000,-0.49140049,1134000,5059858263,8698,Process Industries,Chemicals: Agricultural,-1.45985401,-1.69902913,HKEX
658,CHINA HIGH SPEED TRANS EQUIP GROUP,3.57,-2.72479564,Sell,309000,-4.03225806,1103130,6001519944,6163,Utilities,Alternative Power Generation,-1.38121547,-2.72479564,HKEX
2518,AUTOHOME INC,64.05,0.3918511,Buy,17100,0.39184953,1095255,32039114302,5793,Technology Services,Internet Software/Services,11.87772926,0.3918511,HKEX
1137,HONG KONG TECHNOLOGY VENTURE CO LTD,6.04,-0.98360656,Buy,180000,-0.16528926,1087200,5629787607,2083,Retail Trade,Internet Retail,4.31778929,-0.98360656,HKEX
2155,MORIMATSU INTERNATIONAL HOLDINGS CO,8.48,-2.64064294,Buy,112000,-3.63636364,949760,9352762316,3211,Producer Manufacturing,Industrial Machinery,7.34177215,-2.64064294,HKEX
2156,C&D PROPERTY MANAGEMENT GROUP LTD,4.58,-0.43478261,Buy,206000,-0.43478261,943480,6146800971,11057,Finance,Real Estate Development,6.26450116,-0.43478261,HKEX
2678,TEXHONG TEXTILE GROUP LTD,6.57,-0.60514372,Buy,140500,0.30534351,923085,6067980123,33639,Process Industries,Textiles,2.97805643,-0.60514372,HKEX
45,HONG KONG & SHANGHAI HOTELS,7.47,-2.734375,Buy,123000,-2.734375,918810,12667654404,5866,Consumer Services,Hotels/Resorts/Cruise lines,8.73362445,-2.734375,HKEX
179,JOHNSON ELECTRIC HOLDINGS,9.59,-0.72463768,Buy,93500,0.20898642,896665,8745132298,35000,Producer Manufacturing,Auto Parts: OEM,-1.03199174,-0.72463768,HKEX
1698,TENCENT MUSIC ENTERTAINMENT GROUP,31.45,-1.71875,Buy,28500,-1.87207488,896325,109828938071,5966,Technology Services,Internet Software/Services,20.26768642,-1.71875,HKEX
38,FIRST TRACTOR COMPANY LIMITED,3.64,-1.08695652,Buy,242000,0,880880,11212903247,7435,Producer Manufacturing,Trucks/Construction/Farm Machinery,0,-1.08695652,HKEX
9877,JENSCARE SCIENTIFIC CO LTD,48.75,-0.10245697,Buy,18000,0,877500,20357762943,,Health Technology,Medical Specialties,-2.791629,-0.10245697,HKEX
1258,CHINA NONFERROUS MINING CORP LTD,3.89,-2.26130653,Buy,225000,-2.01511335,875250,14881362908,8756,Non-Energy Minerals,Other Metals/Minerals,5.99455041,-2.26130653,HKEX
3660,360 DIGITECH INC,68.95,2.14814815,Strong Buy,12650,1.24816446,872217.5,24353568571,2129,Finance,Finance/Rental/Leasing,13.77888164,2.14814815,HKEX
486,UNITED COMPANY RUSAL IPJSC,3.86,-2.27848101,Neutral,216000,-1.78117048,833760,73563254977.87878,57933,Non-Energy Minerals,Aluminum,3.20855615,-2.27848101,HKEX
116,CHOW SANG SANG HLDGS INTL,9.57,-0.82901554,Buy,87000,-1.44181256,832590,6537238044,10685,Retail Trade,Specialty Stores,6.33333333,-0.82901554,HKEX
2378,PRUDENTIAL,103.2,1.37524558,Buy,7900,1.37524558,815280,284477134512.9403,14486,Finance,Multi-Line Insurance,13.97017844,1.37524558,HKEX
1475,NISSIN FOODS COMPANY LTD,6.47,-0.91883614,Buy,118000,0.31007752,763460,6815030395,3590,Consumer Non-Durables,Food: Specialty/Candy,-0.30816641,-0.91883614,HKEX
2066,SHENGJING BANK,6,0,Sell,125500,-0.16638935,753000,52780080790,8099,Finance,Major Banks,-1.63934426,-1.63934426,HKEX
995,ANHUI EXPRESSWAY COMPANY LTD,6.14,-0.48622366,Buy,122000,-0.48622366,749080,12639060918,2058,Transportation,Other Transportation,3.19327731,-0.48622366,HKEX
2696,SHANGHAI HENLIUS BIOTECH INC,13.82,-0.43227666,Buy,53000,-1.70697013,732460,7543708651,2234,Health Technology,Pharmaceuticals: Major,12.35772358,-0.43227666,HKEX
28,TIAN AN CHINA INVESTMENTS CO,4,3.62694301,Strong Buy,175000,2.8277635,700000,5864277832,1329,Finance,Real Estate Development,6.95187166,6.38297872,HKEX
1456,GUOLIAN SECURITIES CO LTD,4.33,-1.3667426,Buy,159500,-1.81405896,690635,34327374034,2269,Finance,Investment Banks/Brokers,2.85035629,-1.3667426,HKEX
2315,BIOCYTOGEN PHARMACEUTICALS (BEIJING,25.7,-0.96339495,Strong Sell,26000,-1.15384615,668200,10294100000,,Commercial Services,Miscellaneous Commercial Services,-0.96339495,-0.96339495,HKEX
440,DAH SING FINANCIAL HLDGS,18.18,0,Buy,36400,1,661752,5809875484,3014,Finance,Regional Banks,4.60299796,0,HKEX
6198,QINGDAO PORT INTERNATIONAL CO LTD,3.73,-0.26737968,Buy,175000,-0.26737968,652750,39023658152,9218,Transportation,Other Transportation,1.35869565,-0.26737968,HKEX
945,MANULIFE FINANCIAL CORP,138.8,0.94545455,Buy,4700,0.94545455,652360,260955445960.62,38000,Finance,Multi-Line Insurance,0.94545455,0.94545455,HKEX
1967,CONFIDENCE INTELLIGENCE HOLDINGS LT,35.7,-0.27932682,Sell,18000,-1.10803324,642600,8949999809,891,Electronic Technology,Electronic Production Equipment,-2.9891278,-0.27932682,HKEX
9878,HUITONGDA NETWORK CO LTD,32.85,-3.24006176,Sell,18700,-3.24005891,614295,19099200000,4460,Distribution Services,Wholesale Distributors,10.60605688,-3.24006176,HKEX
9699,HANGZHOU SF INTRA-CITY IND CO LTD,7.38,-8.88888889,Buy,79600,-7.98004988,587448,7561007759,2083,Transportation,Air Freight/Couriers,21.18226601,-8.88888889,HKEX
2291,LEPU SCIENTECH MEDICAL TECHNOLOGY S,28.85,-0.68846474,Buy,18000,1.22807018,519300,10073100000,,Commercial Services,Miscellaneous Commercial Services,2.12389381,-0.68846474,HKEX
1963,BANK OF CHONGQING CO LTD,4.09,0,Buy,116500,-1.20772947,476485,21534431492,4714,Finance,Major Banks,-0.72815534,0,HKEX
53,GUOCO GROUP,67,0.7518797,Buy,7000,1.51515152,469000,21790040649,10300,Consumer Services,Hotels/Resorts/Cruise lines,6.34920635,7.2,HKEX
811,XINHUA WINSHARE PUBLISHING & MEDIA,5.26,-1.86567164,Buy,86000,-1.68224299,452360,11577031240,7481,Distribution Services,Wholesale Distributors,2.734375,-1.86567164,HKEX
1836,STELLA INTERNATIONAL HOLDINGS LTD,7.25,-0.68493151,Sell,62000,-0.82079343,449500,5775292851,42500,Consumer Non-Durables,Apparel/Footwear,-0.13774105,-0.68493151,HKEX
2390,ZHIHU INC,20.65,-4.17632966,Buy,20400,-4.17633411,421260,6921908872,2649,Technology Services,Internet Software/Services,13.71145374,-4.17632966,HKEX
435,SUNLIGHT REAL ESTATE INV TRUST,3.11,-0.95541401,Buy,127000,-1.26984127,394970,5301247765,,Finance,Real Estate Investment Trusts,4.01337793,-0.95541401,HKEX
6686,NOAH HOLDINGS PRIVATE WEALTH AND AS,250,6.38297872,Buy,1440,4.34056326,360000,7809726715,3148,Finance,Investment Managers,8.69565217,10.52166225,HKEX
3948,INNER MONGOLIA YITAI COAL,10.6,-0.74906367,Strong Buy,32800,0.76045627,347680,36483579601.21505,5241,Energy Minerals,Coal,-4.15913201,-0.74906367,HKEX
1675,ASIAINFO TECHNOLOGIES LTD,10.92,-0.18281536,Buy,31600,1.2987013,345072,10162125814,13332,Technology Services,Packaged Software,3.21361059,-0.18281536,HKEX
51,HARBOUR CENTRE DEVELOPMENT,7.1,5.18518519,Strong Buy,44000,9.06298003,312400,5032124932,1400,Finance,Real Estate Development,8.89570552,10.59190031,HKEX
2391,TUYA INC,14.34,-0.13927577,Buy,16000,-0.13927577,229440,8307928631.999999,,Technology Services,Packaged Software,68.90459364,-0.13927577,HKEX
1271,GRAND MING GROUP HOLDINGS LIMITED,3.95,0,Sell,54000,0,213300,5607192383,181,Industrial Services,Engineering & Construction,-4.58937198,-0.75376884,HKEX
2218,YANTAI NORTH ANDRE JUICE CO,6.47,-1.22137405,Buy,32000,-1.22137405,207040,7281134103,,Consumer Non-Durables,Food: Specialty/Candy,3.85232745,-1.22137405,HKEX
9886,DINGDANG HEALTH TECHNOLOGY GRP LTD,12.06,-1.63132137,Buy,15500,-1.47058824,186930,7733530000,,Technology Services,Internet Software/Services,1.85810811,-1.63132137,HKEX
41,GREAT EAGLE HLDGS,16.02,-0.62035356,Buy,8895,0.125,142497.9,12053301653,5200,Consumer Services,Hotels/Resorts/Cruise lines,5.39473684,-0.62035356,HKEX
71,MIRAMAR HOTEL & INVESTMENT CO,11.66,-1.52027027,Neutral,12000,0,139920,8180963152,1105,Finance,Real Estate Development,5.04504505,-1.52027027,HKEX
3918,NAGACORP LTD,6.33,-0.31496063,Buy,20002,-0.15772871,126612.66,27826567746,6181,Consumer Services,Hotels/Resorts/Cruise lines,12.63345196,-0.31496063,HKEX
2148,VESYNC CO LTD,4.94,-0.2020202,Buy,20000,-0.2020202,98800,5755264836,1236,Technology Services,Packaged Software,-7.8358209,-0.2020202,HKEX
6190,BANK OF JIUJIANG CO LTD,9.8,0.51282051,Sell,10000,0,98000,23568124674,4624,Finance,Regional Banks,0.51282051,0,HKEX
1839,CIMC VEHICLES GROUP CO LTD,5.18,0.97465887,Buy,16500,0,85470,17060476504.999998,13286,Producer Manufacturing,Trucks/Construction/Farm Machinery,4.43548387,0.97465887,HKEX
6288,FAST RETAILING CO LTD HDR (1DR:0.01SHS),47.150002,2.05627918,Strong Buy,1800,0.31915319,84870.0036,489791444339.3099,57576,Retail Trade,Apparel/Footwear Retail,3.96913799,4.661494,HKEX
2121,QINGDAO AINNOVATION TECH GP CO LTD,21.6,-0.23094688,Strong Buy,3700,5.10948905,79920,12108948914,,Technology Services,Packaged Software,8.98082745,-0.23094688,HKEX
9889,DONGGUAN RURAL COMMERCIAL BANK CO L,7.01,-2.50347705,Strong Sell,10000,-2.50347705,70100,49528642197,7962,Finance,Regional Banks,-1.95804196,-2.50347705,HKEX
34,KOWLOON DEVELOPMENT CO,7.6,-1.17035111,Neutral,7000,-1.17035111,53200,9048294192,2854,Finance,Real Estate Development,4.82758621,-1.17035111,HKEX
4333,CISCO SYSTEMS INC,250,-16.66666667,Buy,200,0,50000,1550577684741.8022,83300,Electronic Technology,Telecommunications Equipment,-16.66666667,-16.66666667,HKEX
1252,CHINA TIANRUI GROUP CEMENT CO LTD,6.25,0.80645161,Buy,5000,-0.79365079,31250,18217346217,7353,Non-Energy Minerals,Construction Materials,-2.79937792,0.80645161,HKEX
1065,TIANJIN CAP ENVIRONMTL PROTECT GRP,3.33,0.60422961,Buy,8000,0,26640,9442929149,2300,Industrial Services,Engineering & Construction,7.76699029,0.60422961,HKEX
6868,TENFU CAYMAN HLDGS COMPANY LTD,5,0,Buy,5000,0,25000,5443702393,3508,Consumer Non-Durables,Food: Major Diversified,4.16666667,0,HKEX
9677,WEIHAI CITY COMMERCIAL BANK,3.1,-2.82131661,Buy,8000,0,24800,18538179301,,Finance,Regional Banks,14.39114391,-2.82131661,HKEX
3308,GOLDEN EAGLE RETAIL GROUP LIMITED,5.64,-0.17699115,Buy,2000,-0.70422535,11280,9380158160,2590,Retail Trade,Department Stores,6.21468927,-0.17699115,HKEX
2299,BILLION INDUSTRIAL HOLDINGS LIMITED,4.25,5.98503741,Sell,2000,0,8500,9005690857,7308,Process Industries,Textiles,-7.60869565,0,HKEX
9638,FERRETTI SPA,19.5,0,Sell,200,0,3900,6600411987,,Consumer Durables,Recreational Products,-2.5,0,HKEX
